
2024-10-10 16:19:23.211796 - GroupAnonymousBot (1087968824): ты тип специально стрелочки в рандом места тыкнул - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.212796 - GroupAnonymousBot (1087968824): хахаха - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.213796 - skodaracing24 (556943853): Было бы заебись Сергей - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.217796 - skodaracing24 (556943853): Если бы хуйню сделал - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.218796 - skodaracing24 (556943853): Номера пробивать - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.220796 - skodaracing24 (556943853): Куратора моего - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.221796 - skodaracing24 (556943853): Номер только найти надо - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.223796 - GroupAnonymousBot (1087968824): я тоже буду это проходить - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.225796 - skodaracing24 (556943853): Ну щас с пацанами займемся - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.226796 - GroupAnonymousBot (1087968824): у нас нихуевая комбинация - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.228796 - GroupAnonymousBot (1087968824): ты будешь код ебашить я его на серверах запускать - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.230796 - GroupAnonymousBot (1087968824): да пошел он нахуй - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.231797 - GroupAnonymousBot (1087968824): там надо нормальный сервак брать - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.232796 - GroupAnonymousBot (1087968824): заебись - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.234796 - GroupAnonymousBot (1087968824): ты там с ip работаем щас, серверами, и потом думаю бд будем изучать - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.235796 - GroupAnonymousBot (1087968824): компбтерные сети изучаем - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.239796 - skodaracing24 (556943853): Вы че тут устроили - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.241796 - B500OP98 (1443833264): Че - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.243796 - B500OP98 (1443833264): Все нахуй - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.244796 - B500OP98 (1443833264): Пизда компу нахуй - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.246795 - B500OP98 (1443833264): Я ебал бляяяяять - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.247796 - B500OP98 (1443833264): SISTEM SERVICE EXCEPTION - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.323796 - verdise (6751720805): Да я его на курсовую отдам - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.327795 - verdise (6751720805): None - Type: GIF  |  ChatID: -1002124483077


2024-10-10 16:19:23.332796 - verdise (6751720805): Вот и балуюст с request - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.333795 - verdise (6751720805): .выч 29+7-6 - Type: Command  |  ChatID: -1002124483077


2024-10-10 16:19:23.337795 - verdise (6751720805): Опять умер - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.339796 - verdise (6751720805): Да сдох опять свет домк - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.341796 - verdise (6751720805): Его седня по кд включают выключают - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.343796 - verdise (6751720805): В777ОР24 - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.345795 - verdise (6751720805): Но за то - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.346796 - verdise (6751720805): Да ничего
Он отправляет просто запрос на сайт с номером - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.347796 - verdise (6751720805): Вот и все - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.349796 - verdise (6751720805): Я сделал нормальную библиотеку логирование событий - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.350796 - verdise (6751720805): 3 строчки кода - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.352796 - verdise (6751720805): Все что нужно просто купить глах бога на сайте
И к нему реквесты кидать - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.354796 - verdise (6751720805): Все - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.356796 - verdise (6751720805): Да не - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.357796 - verdise (6751720805): Я показывал там кое кому - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.358796 - verdise (6751720805): Как я БД из блокнотов сшил - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.360796 - verdise (6751720805): Кого - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.362796 - verdise (6751720805): Мне еще MySQL изучить
И сд5лать нормальную историю пользователей и их сообщений - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.367796 - verdise (6751720805): Ну так кого пробить - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.368796 - verdise (6751720805): Говори - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.369796 - verdise (6751720805): Ахахха - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.370795 - verdise (6751720805): Давай - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.371796 - verdise (6751720805): Mysql? Или постгрес
Или вообще постку - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.372796 - verdise (6751720805): Крч изучай ее - Type: Text  |  ChatID: -1002124483077


